Velocity_m_s,X,U_magnitude,U_x,U_y,U_z,p,k,epsilon,nut
5.0,-0.014525308774999999,7.43593223272749,7.4354270006423935,-0.0851760358929252,-0.01607889123260975,-6.547698436470475,0.6763027345423122,558.0707322387527,0.0004123857425787057
5.0,-0.013185175893299997,7.683618980680407,7.683063322436829,-0.09096226270604085,-0.016263162717223167,-6.550665951963066,0.4197238210510452,109.48496718247205,0.0006623992241389114
5.0,-0.011898585760699998,7.785364121075745,7.784827567244724,-0.08963075380716741,-0.017904579639434814,-6.797767093088184,0.3413937926003383,74.28791267799386,0.0006434812984698402
5.0,-0.010663399167000001,7.818599802296907,7.818073559004524,-0.0887417595983833,-0.01880411058664322,-6.889297927013563,0.31890927221065923,71.57783136240559,0.0006279282008019684
5.0,-0.009489201220909092,7.650409250326496,7.649829730454561,-0.09394089949886328,-0.006473015993833542,-6.50747713016152,0.37319132703309843,-9.54236011837287,0.0007974132281788084
5.0,-0.0094775623693,7.826937916245301,7.826413260360037,-0.08860110560923443,-0.01903856359422207,-6.916697610617522,0.3144932061198995,73.09301089411144,0.0006215389398500546
5.0,-0.009436034686181817,7.832384993383028,7.831860166557162,-0.08864886993333149,-0.01903664693236351,-6.930668252312361,0.3103319287835671,69.23775473842659,0.0006221874368120997
5.0,-0.008339103679699996,7.833287383834783,7.832763405253868,-0.08854486519321486,-0.019195882603526115,-6.936691669373684,0.31253077105223404,75.14667873377118,0.0006160769115034178
5.0,-0.0072461301877000004,7.838434551340092,7.837911257992864,-0.08847676841473097,-0.01936979405581951,-6.9540929131834535,0.3110813855646253,77.197466003979,0.0006111900132291831
5.0,-0.0067997474382,7.840741259254955,7.840217859746741,-0.0884583378920149,-0.019558342173695564,-6.962675765343265,0.3111779908398511,79.61653556344342,0.0006075249858670368
5.0,-0.006196824607899999,7.843010105412252,7.842487505300915,-0.08839911538268527,-0.019566277042031288,-6.970141097806327,0.30961688635531104,79.19920935202359,0.0006065375572898051
5.0,-0.005189442262,7.846981843284118,7.846459810503282,-0.08833039592278578,-0.01975429430603981,-6.984567303904259,0.30838501591657197,81.10804691109595,0.0006022875460575789
5.0,-0.0042223081786,7.85021234876189,7.849690560382646,-0.0883016593872524,-0.019870677962899208,-6.996109209060011,0.3075970599930611,82.67712575780408,0.0005988656440797286
5.0,-0.00329381430636,7.84991108197033,7.8493883461969105,-0.08837624984335608,-0.019905373454093933,-6.99594748134622,0.30870454858695373,83.89161244430028,0.0005979041670884614
5.0,-0.001000971973818182,7.844554643310973,7.844027509043833,-0.08872731084798466,-0.01993623748421669,-6.9794945073001635,0.3123060055017355,83.87049816718368,0.0006006293763017613
5.0,0.020625368068000003,7.94982395192076,7.949280224597446,-0.09164716143206117,-0.015670837834477425,-7.349792674683273,0.3527734038471635,138.47620601020878,0.0005034450771717522
5.0,0.021314111989000007,7.952342685553463,7.951799081366728,-0.09165468867611229,-0.01565171219408512,-7.355021087198023,0.35070895115798595,135.98216740351393,0.000502850629753407
5.0,0.022008210707,7.954583255140221,7.954039794106659,-0.09165556127727972,-0.015651671215891838,-7.359576731228949,0.3485410511709186,133.45039927631748,0.0005023555983730223
5.0,0.022707705852000003,7.956733689042352,7.956190304543368,-0.09166050036932452,-0.015658508986234665,-7.363865336476637,0.3463747850997114,130.95092619323395,0.0005019265191434337
5.0,0.023412639384,7.95877864181176,7.958235295304606,-0.0916688578552631,-0.015661239624023438,-7.3679959751201585,0.34434985275039875,128.56002385155446,0.0005014726590761203
5.0,0.024123053585999997,7.960530022324489,7.959986824664249,-0.0916682478816315,-0.015649914741516113,-7.3718680374770935,0.3424246913882907,126.26413575689966,0.0005010403602888746
5.0,0.024838991063,7.962257865231006,7.961714770133291,-0.09167131045757351,-0.015639767050743103,-7.37543027842883,0.34047726792258937,123.89164530243858,0.0005006658184147522
5.0,0.025560494760000003,7.964103682438593,7.963560635055336,-0.09167707555557779,-0.015645774081349373,-7.378422241133971,0.33819815953729737,121.2148984116933,0.0005004034732468661
5.0,0.026287607951,7.966139297441945,7.965596143633755,-0.0916946588926944,-0.01566755585372448,-7.3813112434631805,0.33588678131376914,118.37305331612427,0.0005002394709310548
5.0,0.027020374252,7.968575918041749,7.968032335219489,-0.09174070766595258,-0.015700606629252434,-7.3842839304815024,0.3335329212778795,115.46170334630571,0.0005001087373777012
5.0,0.047311567314000005,7.997886194136636,7.997266877381184,-0.09928941516423848,-0.006904950365424156,-7.571493161969086,0.4427958363121547,182.77763435411896,0.00044128624823219905
5.0,0.048207789195999995,7.998601206477785,7.997978527358374,-0.09957639928605255,-0.006728810258209705,-7.572024888842045,0.44168467140757706,178.81065961824757,0.00044388228488979756
5.0,0.04911097895699999,7.9995943847947135,7.99896807823202,-0.09988865071837028,-0.006500932388007641,-7.573894160324704,0.44092827048411354,175.14946326901514,0.00044646797993795184
5.0,0.050021190775999994,8.000525237687368,7.999895630218005,-0.1001728094762102,-0.006276363041251898,-7.575084551520401,0.44027133418863085,171.7819142484721,0.00044881601309359185
5.0,0.050938479241,8.00105281335512,8.000419824734855,-0.10046130582431931,-0.006022966001182795,-7.576371321150189,0.4399680385571083,168.68737342497846,0.00045118082697399083
